
Wed Jan 31 11:09:50.381 GMT-7

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether51.820             10.192.96.214   Down            Down     VRF_PS_MPBN
Bundle-Ether51.821             10.192.96.222   Down            Down     VRF_PS_MPBN
Bundle-Ether51.822             10.192.98.6     Down            Down     VRF_4G_SER
Bundle-Ether51.823             10.192.98.14    Down            Down     VRF_4G_SER
Bundle-Ether51.824             10.192.98.22    Down            Down     VRF_4G_SER
Bundle-Ether51.825             10.192.98.30    Down            Down     VRF_4G_SER
Bundle-Ether51.826             10.192.98.38    Down            Down     VRF_PS_CPUP
Bundle-Ether51.827             10.192.98.46    Down            Down     VRF_PS_CPUP
Bundle-Ether51.828             10.192.98.54    Down            Down     VRF_PS_CPUP
Bundle-Ether51.829             10.192.98.62    Down            Down     VRF_PS_CPUP
Bundle-Ether51.830             10.192.98.70    Down            Down     VRF_INT_04
Bundle-Ether51.831             10.192.98.78    Down            Down     VRF_INT_04
Bundle-Ether51.832             10.192.98.86    Down            Down     VRF_INT_04
Bundle-Ether51.833             10.192.98.94    Down            Down     VRF_INT_04
Bundle-Ether51.834             unassigned      Down            Down     VRF_INT_04
Bundle-Ether51.835             unassigned      Down            Down     VRF_INT_04
Bundle-Ether51.836             unassigned      Down            Down     VRF_INT_04
Bundle-Ether51.837             unassigned      Down            Down     VRF_INT_04
Bundle-Ether51.838             10.192.98.102   Down            Down     VRF_IMS 
Bundle-Ether51.839             10.192.98.110   Down            Down     VRF_IMS 
Bundle-Ether51.840             10.192.98.118   Down            Down     VRF_IMS 
Bundle-Ether51.841             10.192.98.126   Down            Down     VRF_IMS 
Bundle-Ether51.846             10.192.98.166   Down            Down     VRF_PS_CHARG
Bundle-Ether51.847             10.192.98.174   Down            Down     VRF_PS_CHARG
Bundle-Ether51.848             10.192.98.182   Down            Down     VRF_PS_CHARG
Bundle-Ether51.849             10.192.98.190   Down            Down     VRF_PS_CHARG
Bundle-Ether51.850             10.192.98.198   Down            Down     VRF_PS_MPBN
Bundle-Ether51.851             10.192.98.206   Down            Down     VRF_PS_MPBN
Bundle-Ether51.852             10.192.98.214   Down            Down     VRF_PS_MPBN
Bundle-Ether51.853             10.192.98.222   Down            Down     VRF_PS_MPBN
Bundle-Ether51.854             10.192.116.28   Down            Down     VRF_PS_RAN
Bundle-Ether51.855             10.192.116.254  Down            Down     VRF_PS_MPBN
Bundle-Ether51.856             10.192.117.92   Down            Down     VRF_PS_CPUP
Bundle-Ether51.857             10.192.117.126  Down            Down     VRF_PS_CPUP
Bundle-Ether51.858             10.192.117.222  Down            Down     VRF_PS_CHARG
Bundle-Ether51.859             10.192.119.28   Down            Down     VRF_PS_RAN
Bundle-Ether51.860             10.192.119.254  Down            Down     VRF_PS_MPBN
Bundle-Ether51.861             10.192.120.92   Down            Down     VRF_PS_CPUP
Bundle-Ether51.862             10.192.120.126  Down            Down     VRF_PS_CPUP
Bundle-Ether51.863             10.192.120.222  Down            Down     VRF_PS_CHARG
Bundle-Ether51.864             10.192.100.6    Down            Down     VRF_4G_SER
Bundle-Ether51.870             10.192.100.54   Down            Down     VRF_PS_CPUP
Bundle-Ether51.876             10.192.100.102  Down            Down     VRF_INT_03
Bundle-Ether51.882             unassigned      Down            Down     VRF_INT_03
Bundle-Ether51.888             10.192.100.150  Down            Down     VRF_IMS 
Bundle-Ether51.900             10.192.100.246  Down            Down     VRF_PS_CHARG
Bundle-Ether51.906             10.192.101.38   Down            Down     VRF_PS_MPBN
Bundle-Ether51.912             10.192.102.6    Down            Down     VRF_4G_SER
Bundle-Ether51.918             10.192.102.54   Down            Down     VRF_PS_CPUP
Bundle-Ether51.924             10.192.102.102  Down            Down     VRF_INT_04
Bundle-Ether51.930             unassigned      Down            Down     VRF_INT_04
Bundle-Ether51.936             10.192.102.150  Down            Down     VRF_IMS 
Bundle-Ether51.948             10.192.102.246  Down            Down     VRF_PS_CHARG
Bundle-Ether51.954             10.192.103.38   Down            Down     VRF_PS_MPBN
Bundle-Ether51.960             unassigned      Down            Down     default 
Bundle-Ether51.961             unassigned      Down            Down     default 
Bundle-Ether51.962             unassigned      Down            Down     default 
Bundle-Ether51.963             unassigned      Down            Down     default 
Bundle-Ether51.966             unassigned      Down            Down     default 
Bundle-Ether51.967             unassigned      Down            Down     default 
Bundle-Ether51.968             unassigned      Down            Down     default 
Bundle-Ether51.969             unassigned      Down            Down     default 
Bundle-Ether51.972             unassigned      Down            Down     default 
Bundle-Ether51.973             unassigned      Down            Down     default 
Bundle-Ether51.974             unassigned      Down            Down     default 
Bundle-Ether51.975             unassigned      Down            Down     default 
Bundle-Ether52.600             10.202.194.178  Down            Down     VRF_5GC_PS_MPBN
Bundle-Ether52.601             10.202.194.182  Down            Down     VRF_4G_SER
Bundle-Ether52.602             10.202.194.186  Down            Down     VRF_PS_CPUP
Bundle-Ether52.603             10.202.194.190  Down            Down     VRF_INT_5GC_02
Bundle-Ether52.604             10.202.194.194  Down            Down     VRF_IMS 
Bundle-Ether52.605             10.202.194.198  Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether53.600             10.202.194.202  Down            Down     VRF_5GC_PS_MPBN
Bundle-Ether53.601             10.202.194.206  Down            Down     VRF_4G_SER
Bundle-Ether53.602             10.202.194.210  Down            Down     VRF_PS_CPUP
Bundle-Ether53.603             10.202.194.214  Down            Down     VRF_INT_5GC_02
Bundle-Ether53.604             10.202.194.218  Down            Down     VRF_IMS 
Bundle-Ether53.605             10.202.194.222  Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2840            10.196.32.3     Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2841            10.196.32.19    Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2842            10.196.32.35    Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2843            10.196.32.51    Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2845            10.196.32.67    Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2846            10.196.33.3     Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2847            10.196.36.3     Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2848            10.196.44.3     Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2849            10.196.32.75    Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2850            10.196.51.3     Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2852            10.196.32.91    Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2853            10.196.32.99    Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2854            10.196.32.107   Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2855            10.196.32.115   Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2856            10.196.32.131   Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2857            10.196.32.147   Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2860            10.196.34.3     Down            Down     VRF_5GC_PS_MPBN
Bundle-Ether25.2861            10.196.35.3     Down            Down     VRF_5GC_PROV
Bundle-Ether25.2862            10.196.37.3     Down            Down     VRF_5GC_PS_MPBN
Bundle-Ether25.2863            10.196.38.3     Down            Down     VRF_4G_SER
Bundle-Ether25.2865            10.196.40.3     Down            Down     VRF_INT_5GC
Bundle-Ether25.2866            10.196.45.3     Down            Down     VRF_5GC_PS_MPBN
